lat,lon,flood_heig,elevation,precipitat,distance_to_river_deg,distance_to_river_m
14.7185091,121.1356728,0,18.1766529083,16.0,0.04253366639416432,4721.236969752239
14.69196007,120.9966771,0,20.376411438,10.0,0.0034511462610117343,383.0772349723025
14.65295922,121.096949,0,10.2427883148,13.0,5.8335930251508396e-05,6.475288257917432
14.65176293,121.0977403,0,11.1843156815,13.0,0.0003258554740108374,36.169957615202954
14.548539,121.0891794,0,6.66783046722,11.0,0.00032957939905441704,36.58331329504029
14.61066001,120.9872903,0,8.62410545349,8.0,0.006588734685362616,731.3495500752504
14.68471453,121.0257286,0,35.59765625,10.0,0.0005815380954860098,64.55072859894709
14.57464229,121.0092495,0,8.03537750244,7.0,0.0029880836353962294,331.6772835289815
14.57530424,121.0098799,0,8.03537750244,8.0,0.0021787690252969357,241.84336180795987
14.57574554,121.0094051,0,7.89131116867,8.0,0.0025924836838542922,287.7656889078264
14.7519308,120.9542645,0,7.12374591827,11.0,0.05350146086276526,5938.662155766944
14.75236137,120.952226,0,6.69640541077,11.0,0.053967493632007625,5990.391793152847
14.35745319,121.0572052,0,11.5457544327,12.0,0.04348975270999138,4827.362550809043
14.62353318,121.1178549,0,14.4303712845,14.0,0.013053966751617872,1448.990309429584
14.57479804,120.9834628,0,11.9547481537,8.0,0.010833197924782496,1202.484969650857
14.62154625,121.1104721,0,12.8605651855,14.0,0.005521115899204871,612.8438648117407
14.61172899,121.023315,0,11.4918403625,8.0,0.00042590890491310047,47.275888445354155
14.40675203,120.9438237,0,20.7598991394,7.0,0.0003845186416810136,42.68156922659251
14.42190457,120.946237,0,15.2843694687,6.0,0.001116560476157001,123.9382128534271
14.45863466,120.9591467,0,6.24678039551,6.0,0.004855136357879919,538.920135724671
14.66451206,121.0389362,0,41.6394271851,9.0,0.0002914042661641737,32.34587354422328
14.66473002,121.0402988,0,41.9759597778,9.0,0.0009388150576126419,104.20847139500326
14.59210079,121.0839157,0,10.5098218918,11.0,0.0011564541815770534,128.36641415505292
14.52805462,121.0227297,0,10.8176393509,7.0,0.00034273581436323515,38.0436753943191
14.59237334,121.0840205,0,10.5098218918,11.0,0.0013085753962034951,145.25186897858796
